episode,case,pool,topology,conflict_edge_count,e2_full_success,e2_success,e2_collision,e2_unresolved,e2_timeout,e2_steps,e2_failure_type,oracle_full_success,oracle_success,oracle_collision,oracle_unresolved,oracle_timeout,oracle_steps,oracle_failure_type,oracle_dense_action_share,relation
1,standard-20260717006453-310e3af54445,standard,multi,2,0,4,0,1,1,300,timeout+unresolved,1,5,0,0,0,84,success,0.252,oracle_improved
2,standard-20260717006345-2b0c77ef317e,standard,zero,0,1,5,0,0,0,13,success,1,5,0,0,0,13,success,0.167,same
3,standard-20260717006790-507cb8548e2c,standard,edge1,1,1,5,0,0,0,41,success,1,5,0,0,0,38,success,0.367,same
4,dense-20260718008795-2e680ff01f87,dense,edge1,1,1,5,0,0,0,27,success,1,5,0,0,0,30,success,0.443,same
5,dense-20260718008477-2166c0b8d4ec,dense,multi,3,1,5,0,0,0,28,success,0,3,2,0,0,47,collision,0.457,oracle_degraded
6,dense-20260718008354-0aae7aa7c9b9,dense,edge1,1,1,5,0,0,0,51,success,1,5,0,0,0,23,success,0.667,same
7,dense-20260718008705-222a322ea73f,dense,zero,0,1,5,0,0,0,9,success,1,5,0,0,0,13,success,0.729,same
8,dense-20260718009166-dc896a5fcf95,dense,multi,3,0,4,1,0,0,258,collision,1,5,0,0,0,58,success,0.543,oracle_improved
9,standard-20260717006400-c15e4131600a,standard,zero,0,1,5,0,0,0,27,success,1,5,0,0,0,18,success,0.086,same
10,dense-20260718008307-2ccff3820805,dense,edge1,1,1,5,0,0,0,16,success,1,5,0,0,0,20,success,0.768,same
11,standard-20260717006934-0ef2e94e6647,standard,zero,0,1,5,0,0,0,22,success,1,5,0,0,0,16,success,0.2,same
12,dense-20260718008474-2820a4433a10,dense,edge1,1,1,5,0,0,0,33,success,1,5,0,0,0,32,success,0.456,same
13,standard-20260717006248-8b56d502ce3d,standard,zero,0,1,5,0,0,0,19,success,1,5,0,0,0,26,success,0.5,same
14,standard-20260717006584-f2f56bb080f5,standard,edge1,1,1,5,0,0,0,21,success,1,5,0,0,0,23,success,0.145,same
15,standard-20260717006321-9ed7dce40aef,standard,zero,0,1,5,0,0,0,25,success,1,5,0,0,0,25,success,0.0,same
16,dense-20260718008967-41672fa0ef1b,dense,multi,3,0,4,1,0,0,10,collision,0,4,1,0,0,15,collision,0.902,same
17,dense-20260718008953-bfb89e8891bd,dense,multi,3,0,3,1,1,1,300,collision+timeout+unresolved,0,3,2,0,0,13,collision,0.694,same
18,dense-20260718009088-a8f337fee7e4,dense,multi,3,0,2,1,2,1,300,collision+timeout+unresolved,0,3,1,1,1,300,collision+timeout+unresolved,0.138,same
19,standard-20260717006609-53823205fb55,standard,edge1,1,1,5,0,0,0,23,success,1,5,0,0,0,38,success,0.261,same
20,standard-20260717006788-679e7ea561c4,standard,zero,0,0,4,0,1,1,300,timeout+unresolved,0,4,0,1,1,300,timeout+unresolved,0.0,same
21,dense-20260718008264-e379f756184b,dense,multi,3,1,5,0,0,0,41,success,1,5,0,0,0,53,success,0.451,same
22,standard-20260717006251-db22912ef43c,standard,zero,0,1,5,0,0,0,34,success,1,5,0,0,0,34,success,0.083,same
23,standard-20260717006980-d62c7937eb62,standard,zero,0,1,5,0,0,0,20,success,1,5,0,0,0,34,success,0.333,same
24,dense-20260718009056-e613f65f172c,dense,multi,3,1,5,0,0,0,32,success,1,5,0,0,0,26,success,0.576,same
25,standard-20260717006772-6425d6d34f84,standard,zero,0,1,5,0,0,0,13,success,1,5,0,0,0,15,success,0.212,same
26,standard-20260717007097-f43774958a19,standard,zero,0,1,5,0,0,0,29,success,1,5,0,0,0,36,success,0.647,same
27,dense-20260718008943-8b0c553cd8a2,dense,zero,0,1,5,0,0,0,13,success,1,5,0,0,0,42,success,0.628,same
28,standard-20260717006590-ec657dafcc0d,standard,edge1,1,0,4,1,0,0,20,collision,0,3,2,0,0,12,collision,0.457,same
29,standard-20260717007090-4502408f70d7,standard,zero,0,1,5,0,0,0,16,success,1,5,0,0,0,19,success,0.061,same
30,dense-20260718008387-83051dd35b1d,dense,multi,4,1,5,0,0,0,53,success,1,5,0,0,0,82,success,0.804,same
31,standard-20260717006327-ba8bcb5fe8d4,standard,zero,0,1,5,0,0,0,15,success,1,5,0,0,0,23,success,0.282,same
32,standard-20260717006715-080ebeacb67c,standard,zero,0,1,5,0,0,0,14,success,1,5,0,0,0,32,success,0.573,same
33,standard-20260717006578-e17b52b3017b,standard,zero,0,1,5,0,0,0,51,success,0,4,1,0,0,17,collision,0.111,oracle_degraded
34,dense-20260718008628-6f510cf9de34,dense,edge1,1,0,3,2,0,0,24,collision,1,5,0,0,0,54,success,0.473,oracle_improved
35,standard-20260717006579-34c5d8999685,standard,zero,0,1,5,0,0,0,29,success,1,5,0,0,0,25,success,0.237,same
36,dense-20260718009059-89dc85a91dfa,dense,multi,3,0,4,1,0,0,7,collision,0,4,1,0,0,9,collision,0.824,same
37,dense-20260718009269-a1cc3c274349,dense,multi,4,1,5,0,0,0,186,success,1,5,0,0,0,48,success,0.934,same
38,dense-20260718008520-c02550e21da9,dense,zero,0,1,5,0,0,0,14,success,1,5,0,0,0,29,success,0.804,same
39,standard-20260717006564-36f1982d1c77,standard,edge1,1,0,4,1,0,0,28,collision,1,5,0,0,0,94,success,0.201,oracle_improved
40,standard-20260717006834-87db8e51616f,standard,zero,0,1,5,0,0,0,13,success,1,5,0,0,0,8,success,0.0,same
41,standard-20260717006652-e69f7d0aadca,standard,zero,0,1,5,0,0,0,20,success,1,5,0,0,0,33,success,0.171,same
42,dense-20260718009026-2691c66d60ce,dense,multi,3,1,5,0,0,0,25,success,1,5,0,0,0,20,success,0.522,same
43,standard-20260717006969-7008a22b9526,standard,edge1,1,1,5,0,0,0,27,success,1,5,0,0,0,29,success,0.364,same
44,dense-20260718009006-9ad8097a40ac,dense,multi,4,1,5,0,0,0,28,success,0,3,1,1,1,300,collision+timeout+unresolved,0.198,oracle_degraded
45,standard-20260717006324-4ed8e4961ced,standard,zero,0,1,5,0,0,0,11,success,1,5,0,0,0,9,success,0.0,same
46,standard-20260717006440-3da760283004,standard,zero,0,1,5,0,0,0,21,success,1,5,0,0,0,15,success,0.167,same
47,dense-20260718008853-cd3061240ea3,dense,edge1,1,1,5,0,0,0,16,success,1,5,0,0,0,28,success,0.663,same
48,dense-20260718008373-f0de0a37adec,dense,multi,3,0,4,0,1,1,300,timeout+unresolved,1,5,0,0,0,75,success,0.686,oracle_improved
49,standard-20260717006996-8ade791269ee,standard,zero,0,1,5,0,0,0,11,success,1,5,0,0,0,15,success,0.057,same
50,dense-20260718008584-462d8fe08c02,dense,multi,3,0,3,2,0,0,17,collision,1,5,0,0,0,22,success,0.784,oracle_improved
51,standard-20260717006438-b50a7a5fde19,standard,zero,0,1,5,0,0,0,9,success,1,5,0,0,0,38,success,0.635,same
52,dense-20260718009100-d654906a6c5c,dense,multi,4,1,5,0,0,0,49,success,1,5,0,0,0,32,success,0.738,same
53,standard-20260717006828-c5520a68b10a,standard,zero,0,1,5,0,0,0,24,success,1,5,0,0,0,69,success,0.269,same
