scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
standard-20260717006453-310e3af54445,standard,multi,2,tied,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.015625,1,0.16580724716186523,0.9532809654871622,0.006250701913594475,0.7926878815910727,0.0,0.0,0.8333333333333334,1.0,1
standard-20260717006345-2b0c77ef317e,standard,zero,0,ie2_degraded,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,39,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006790-507cb8548e2c,standard,edge1,1,ie2_degraded,1,0,0,0,36,0.1,1,0.10559898316860199,0.9974368989467621,0.004526812274990499,0.6687903769978709,0.1,0.4,0.7,0.0,1,0,2,0,0,21,0.12162162162162163,1,0.12253530820210774,0.7426592722121212,0.004441437740971733,0.8666368928237955,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.5555555555555556,1
dense-20260718008795-2e680ff01f87,dense,edge1,1,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,59,0.02459016393442623,1,0.5921679635842642,0.9999998410542806,0.019217828674570708,,0.0,0.0,0.3333333333333333,0.0,1
dense-20260718008477-2166c0b8d4ec,dense,multi,3,tied,0,1,0,0,28,0.04597701149425287,1,0.2500138357281685,0.9412362426519394,0.00986321966733239,0.8653896449403233,0.25,0.0,0.75,1.0,1,0,2,0,0,35,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008354-0aae7aa7c9b9,dense,edge1,1,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008705-222a322ea73f,dense,zero,0,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009166-dc896a5fcf95,dense,multi,3,tied,1,0,0,0,45,0.05102040816326531,1,0.021421265602111817,0.8759396851062775,0.004215236749043005,1.3561585880691809,0.0,0.0,0.6,0.0,1,1,0,0,0,62,0.1773049645390071,3,0.20316767394542695,0.9574491047859192,0.00044397686724586107,1.173744195393151,0.04,0.32,0.72,0.44,2
standard-20260717006400-c15e4131600a,standard,zero,0,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,20,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008307-2ccff3820805,dense,edge1,1,tied,1,0,0,0,45,0.03409090909090909,1,0.6666658719380697,1.0,0.029732278686719276,,0.0,0.0,0.0,0.0,1,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006934-0ef2e94e6647,standard,zero,0,tied,1,0,0,0,24,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008474-2820a4433a10,dense,edge1,1,tied,1,0,0,0,27,0.11666666666666667,1,0.030807111944471086,0.8003649285861424,0.004715386381346847,2.0928771826067156,0.0,0.5714285714285714,0.7142857142857143,0.2857142857142857,1,1,0,0,0,21,0.06521739130434782,1,0.6667706867059072,0.7412347396214803,0.03746247782932177,1.6539085256023884,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1
standard-20260717006248-8b56d502ce3d,standard,zero,0,tied,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006584-f2f56bb080f5,standard,edge1,1,tied,1,0,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,24,0.05,1,0.32287532091140747,0.9624786178270975,0.011819511876470049,1.797393737653233,0.0,0.0,0.6666666666666666,0.0,1
standard-20260717006321-9ed7dce40aef,standard,zero,0,tied,1,0,0,0,22,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008967-41672fa0ef1b,dense,multi,3,tied,0,1,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008953-bfb89e8891bd,dense,multi,3,ie2_degraded,1,0,0,0,63,0.4772727272727273,4,0.032781512491286746,0.8843725766055286,0.002397356898868043,1.1702756799707157,0.0,0.3968253968253968,0.9206349206349206,0.23809523809523808,2,0,2,1,1,300,0.8363636363636363,14,0.0003002130466958751,0.7822903359740756,0.00016416073079620873,,0.0,0.44565217391304346,1.0,0.0,1
dense-20260718009088-a8f337fee7e4,dense,multi,3,tied,0,1,0,0,24,0.10526315789473684,1,0.1639036238193512,0.9608880778153738,0.007240401336274201,0.866348899077507,0.0,0.0,0.6666666666666666,0.16666666666666666,1,0,2,1,1,300,0.8387096774193549,27,0.010831140819936991,0.7600537865033122,-0.00019214479555428813,0.7851088750059584,0.0057692307692307696,0.5538461538461539,0.9884615384615385,0.4576923076923077,3
standard-20260717006609-53823205fb55,standard,edge1,1,tied,1,0,0,0,17,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,23,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006788-679e7ea561c4,standard,zero,0,tied,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008264-e379f756184b,dense,multi,3,ie2_degraded,1,0,0,0,42,0.08247422680412371,1,0.12433184310793877,0.9486528486013412,0.005680723669694715,1.0445214623697132,0.125,0.0,0.75,0.0,1,0,2,0,0,16,0.16,1,0.12768304720520973,0.6654508206993341,0.004145474760711143,1.2122184074658535,0.125,0.0,0.75,0.0,1
standard-20260717006251-db22912ef43c,standard,zero,0,ie2_degraded,1,0,0,0,41,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,19,0.05,1,0.5340855121612549,0.33117957164843875,0.02989364161466786,1.7244907761441,0.0,0.0,0.0,0.0,1
standard-20260717006980-d62c7937eb62,standard,zero,0,tied,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009056-e613f65f172c,dense,multi,3,tied,1,0,0,0,25,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,37,0.2261904761904762,3,0.16273442851869682,0.7966829373648292,-0.0026907599183720525,1.614582561282167,0.0,0.42105263157894735,0.6842105263157895,0.10526315789473684,1
standard-20260717006772-6425d6d34f84,standard,zero,0,ie2_improved,0,1,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717007097-f43774958a19,standard,zero,0,tied,1,0,0,0,36,0.10227272727272728,1,4.61737314860026e-05,0.9345879289839003,-0.000494222135295794,1.6795974512981136,0.0,0.5555555555555556,1.0,0.0,1,1,0,0,0,29,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008943-8b0c553cd8a2,dense,zero,0,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006590-ec657dafcc0d,standard,edge1,1,tied,0,1,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,25,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717007090-4502408f70d7,standard,zero,0,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008387-83051dd35b1d,dense,multi,4,tied,0,2,1,1,300,0.7840236686390533,14,3.0235187062677347e-05,0.9189323488130884,-0.00011730850219908884,,0.0,0.4981132075471698,0.9358490566037736,0.0,1,0,1,0,0,78,0.34965034965034963,3,0.016924687623977662,0.814815775603056,0.0013856191548429519,1.716772951319388,0.0,0.4,0.9,0.0,1
standard-20260717006327-ba8bcb5fe8d4,standard,zero,0,tied,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,54,0.06086956521739131,1,0.6278444943683488,1.0,-0.06169453994787386,,0.0,1.0,1.0,0.0,1
standard-20260717006715-080ebeacb67c,standard,zero,0,tied,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,16,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006578-e17b52b3017b,standard,zero,0,tied,1,0,0,0,30,0.03896103896103896,1,0.9999985297520956,0.9999914964040121,0.09797403384875047,2.178772678594099,0.0,0.0,0.0,0.0,1,1,0,0,0,86,0.023622047244094488,1,0.017754087845484417,0.060105507572491966,0.003014818014734022,2.2397561129898977,0.0,0.0,0.3333333333333333,0.0,1
dense-20260718008628-6f510cf9de34,dense,edge1,1,ie2_improved,0,2,0,0,106,0.6681614349775785,9,0.008766127012720044,0.8780795492906899,-0.0003604698489591391,0.8091930882090986,0.006711409395973154,0.47651006711409394,0.9395973154362416,0.0,2,1,0,0,0,36,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006579-34c5d8999685,standard,zero,0,tied,1,0,0,0,40,0.1326530612244898,1,0.07688122758498558,0.9976847997078528,-0.005448370204795409,4.649630106229124,0.0,0.9230769230769231,0.9230769230769231,0.0,1,1,0,0,0,33,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009059-89dc85a91dfa,dense,multi,3,tied,0,2,0,0,7,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,14,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009269-a1cc3c274349,dense,multi,4,ie2_degraded,1,0,0,0,32,0.12844036697247707,4,0.5778228172234127,0.9983374263559069,0.05272419632226156,1.0068342998465423,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,2,0,1,0,0,24,0.03333333333333333,1,0.28076090415318805,0.6386188821246227,0.011774946222770458,0.8904089986445438,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1
dense-20260718008520-c02550e21da9,dense,zero,0,tied,1,0,0,0,17,0.05555555555555555,1,0.7574465138216814,0.9999994436899821,0.09658073661913512,,0.0,0.0,0.0,0.0,1,1,0,0,0,11,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006564-36f1982d1c77,standard,edge1,1,tied,0,1,0,0,33,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,1,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006834-87db8e51616f,standard,zero,0,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
