scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
standard-20260717006453-310e3af54445,standard,multi,2,tied,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006345-2b0c77ef317e,standard,zero,0,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006790-507cb8548e2c,standard,edge1,1,ie2_degraded,1,0,0,0,36,0.1,1,0.10559898316860199,0.9974368989467621,0.004526812274990499,0.6687903769978709,0.1,0.4,0.7,0.0,1,0,1,0,0,29,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008795-2e680ff01f87,dense,edge1,1,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,40,0.05434782608695652,1,0.5739134073257446,1.0,0.006408079368045105,,0.0,0.4,0.4,0.0,1
dense-20260718008477-2166c0b8d4ec,dense,multi,3,tied,0,1,0,0,28,0.04597701149425287,1,0.2500138357281685,0.9412362426519394,0.00986321966733239,0.8653896449403233,0.25,0.0,0.75,1.0,1,0,2,0,0,63,0.4368932038834951,4,0.09572541357742416,0.7643156985441844,0.0007035772368974064,,0.0,0.4444444444444444,0.8222222222222222,0.0,1
dense-20260718008354-0aae7aa7c9b9,dense,edge1,1,tied,1,0,0,0,12,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008705-222a322ea73f,dense,zero,0,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009166-dc896a5fcf95,dense,multi,3,tied,1,0,0,0,45,0.05102040816326531,1,0.021421265602111817,0.8759396851062775,0.004215236749043005,1.3561585880691809,0.0,0.0,0.6,0.0,1,1,0,0,0,42,0.12643678160919541,2,0.2312097278508273,0.9029287858442827,0.003930886538731562,1.602692569269897,0.0,0.36363636363636365,0.5454545454545454,0.0,1
standard-20260717006400-c15e4131600a,standard,zero,0,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,28,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008307-2ccff3820805,dense,edge1,1,tied,1,0,0,0,45,0.03409090909090909,1,0.6666658719380697,1.0,0.029732278686719276,,0.0,0.0,0.0,0.0,1,1,0,0,0,25,0.046875,1,0.3595167398452759,0.9422542055447897,0.017235527362800502,1.7509349855557588,0.0,0.0,0.0,0.0,1
