scenario_id,pool,topology,conflict_edge_count,relation,old_full_success,old_collision,old_unresolved,old_timeout,old_steps,old_interaction_share,old_interaction_segments,old_mean_linear,old_mean_abs_angular,old_mean_progress,old_mean_nearest,old_high_speed_close_rate,old_negative_progress_rate,old_stagnant_rate,old_multi_local_rate,old_max_concurrent_interaction,ie2_full_success,ie2_collision,ie2_unresolved,ie2_timeout,ie2_steps,ie2_interaction_share,ie2_interaction_segments,ie2_mean_linear,ie2_mean_abs_angular,ie2_mean_progress,ie2_mean_nearest,ie2_high_speed_close_rate,ie2_negative_progress_rate,ie2_stagnant_rate,ie2_multi_local_rate,ie2_max_concurrent_interaction
standard-20260717006453-310e3af54445,standard,multi,2,tied,0,0,1,1,300,0.015625,1,0.16580724716186523,0.9532809654871622,0.006250701913594475,0.7926878815910727,0.0,0.0,0.8333333333333334,1.0,1,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006345-2b0c77ef317e,standard,zero,0,ie2_improved,0,1,0,0,39,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006790-507cb8548e2c,standard,edge1,1,tied,0,2,0,0,21,0.12162162162162163,1,0.12253530820210774,0.7426592722121212,0.004441437740971733,0.8666368928237955,0.1111111111111111,0.4444444444444444,0.6666666666666666,0.5555555555555556,1,0,1,0,0,29,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008795-2e680ff01f87,dense,edge1,1,tied,1,0,0,0,59,0.02459016393442623,1,0.5921679635842642,0.9999998410542806,0.019217828674570708,,0.0,0.0,0.3333333333333333,0.0,1,1,0,0,0,40,0.05434782608695652,1,0.5739134073257446,1.0,0.006408079368045105,,0.0,0.4,0.4,0.0,1
dense-20260718008477-2166c0b8d4ec,dense,multi,3,tied,0,2,0,0,35,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,63,0.4368932038834951,4,0.09572541357742416,0.7643156985441844,0.0007035772368974064,,0.0,0.4444444444444444,0.8222222222222222,0.0,1
dense-20260718008354-0aae7aa7c9b9,dense,edge1,1,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008705-222a322ea73f,dense,zero,0,tied,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,13,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009166-dc896a5fcf95,dense,multi,3,tied,1,0,0,0,62,0.1773049645390071,3,0.20316767394542695,0.9574491047859192,0.00044397686724586107,1.173744195393151,0.04,0.32,0.72,0.44,2,1,0,0,0,42,0.12643678160919541,2,0.2312097278508273,0.9029287858442827,0.003930886538731562,1.602692569269897,0.0,0.36363636363636365,0.5454545454545454,0.0,1
standard-20260717006400-c15e4131600a,standard,zero,0,tied,1,0,0,0,20,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,28,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008307-2ccff3820805,dense,edge1,1,tied,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,25,0.046875,1,0.3595167398452759,0.9422542055447897,0.017235527362800502,1.7509349855557588,0.0,0.0,0.0,0.0,1
standard-20260717006934-0ef2e94e6647,standard,zero,0,tied,1,0,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,40,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008474-2820a4433a10,dense,edge1,1,tied,1,0,0,0,21,0.06521739130434782,1,0.6667706867059072,0.7412347396214803,0.03746247782932177,1.6539085256023884,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1,1,0,0,0,23,0.058823529411764705,1,0.05798150102297465,0.7129415969053904,0.00760860985050497,1.167331069027627,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1
standard-20260717006248-8b56d502ce3d,standard,zero,0,tied,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,16,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006584-f2f56bb080f5,standard,edge1,1,tied,1,0,0,0,24,0.05,1,0.32287532091140747,0.9624786178270975,0.011819511876470049,1.797393737653233,0.0,0.0,0.6666666666666666,0.0,1,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006321-9ed7dce40aef,standard,zero,0,tied,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,21,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008967-41672fa0ef1b,dense,multi,3,tied,0,2,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,2,0,0,10,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008953-bfb89e8891bd,dense,multi,3,tied,0,2,1,1,300,0.8363636363636363,14,0.0003002130466958751,0.7822903359740756,0.00016416073079620873,,0.0,0.44565217391304346,1.0,0.0,1,0,0,2,1,300,0.8903225806451613,28,0.009968955987605495,0.5467009294079617,0.00011615039033581927,0.8379725361114327,0.005434782608695652,0.4746376811594203,0.980072463768116,0.0,2
dense-20260718009088-a8f337fee7e4,dense,multi,3,ie2_improved,0,2,1,1,300,0.8387096774193549,27,0.010831140819936991,0.7600537865033122,-0.00019214479555428813,0.7851088750059584,0.0057692307692307696,0.5538461538461539,0.9884615384615385,0.4576923076923077,3,1,0,0,0,82,0.48535564853556484,13,0.12355145981438972,0.7479064168793887,0.004408294438891698,0.8415514123239649,0.08620689655172414,0.47413793103448276,0.8017241379310345,0.9913793103448276,3
standard-20260717006609-53823205fb55,standard,edge1,1,tied,1,0,0,0,23,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,26,0.0,0,,,,,0.0,0.0,0.0,0.0,0
standard-20260717006788-679e7ea561c4,standard,zero,0,tied,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0,0,0,1,1,300,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718008264-e379f756184b,dense,multi,3,tied,0,2,0,0,16,0.16,1,0.12768304720520973,0.6654508206993341,0.004145474760711143,1.2122184074658535,0.125,0.0,0.75,0.0,1,0,0,1,1,300,0.8171091445427728,14,0.00011932021444024592,0.6782036676417889,0.00010255598391624267,0.8771308593618635,0.0,0.5595667870036101,0.9891696750902527,0.0,1
standard-20260717006251-db22912ef43c,standard,zero,0,ie2_improved,0,1,0,0,19,0.05,1,0.5340855121612549,0.33117957164843875,0.02989364161466786,1.7244907761441,0.0,0.0,0.0,0.0,1,1,0,0,0,32,0.046153846153846156,1,0.34322277704874676,0.43343596657117206,0.012489930244521238,1.920746855387975,0.0,0.0,0.3333333333333333,0.0,1
standard-20260717006980-d62c7937eb62,standard,zero,0,tied,1,0,0,0,19,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,18,0.0,0,,,,,0.0,0.0,0.0,0.0,0
dense-20260718009056-e613f65f172c,dense,multi,3,tied,1,0,0,0,37,0.2261904761904762,3,0.16273442851869682,0.7966829373648292,-0.0026907599183720525,1.614582561282167,0.0,0.42105263157894735,0.6842105263157895,0.10526315789473684,1,1,0,0,0,28,0.047619047619047616,1,0.6536814570426941,0.6756361325581869,0.04319649141010218,1.210108215078273,0.0,0.3333333333333333,0.3333333333333333,0.0,1
standard-20260717006772-6425d6d34f84,standard,zero,0,tied,1,0,0,0,15,0.0,0,,,,,0.0,0.0,0.0,0.0,0,1,0,0,0,16,0.0,0,,,,,0.0,0.0,0.0,0.0,0
