seed,episode,scenario_id,robot,full_success,active_steps,first_mode,last_mode,first_probability,mean_probability,visible_switches,controller_switches,run_signature,run_lengths
20260910,1,dense-20260718009765-4dc66d048d98,r1,1,6,dense,dense,0.5573890209197998,0.4776179889837901,0,1,dense,dense:6
20260910,1,dense-20260718009765-4dc66d048d98,r2,1,6,dense,dense,0.8087494969367981,0.8221860329310099,0,1,dense,dense:6
20260910,1,dense-20260718009765-4dc66d048d98,r3,1,7,dense,dense,0.8058085441589355,0.8736124890191215,0,1,dense,dense:7
20260910,1,dense-20260718009765-4dc66d048d98,r4,1,63,dense,standard,0.7798213958740234,0.24119434266218118,1,2,dense -> standard,dense:18;standard:45
20260910,1,dense-20260718009765-4dc66d048d98,r5,1,7,dense,dense,0.8093326091766357,0.7850710238729205,0,1,dense,dense:7
20260910,2,dense-20260718009763-ffe4c1f5a7a4,r1,0,16,dense,standard,0.47972655296325684,0.3584618289023638,1,2,dense -> standard,dense:8;standard:8
20260910,2,dense-20260718009763-ffe4c1f5a7a4,r2,0,6,dense,dense,0.5942587852478027,0.5105705559253693,0,1,dense,dense:6
20260910,2,dense-20260718009763-ffe4c1f5a7a4,r3,0,23,dense,standard,0.8415141105651855,0.46040582592072693,1,2,dense -> standard,dense:16;standard:7
20260910,2,dense-20260718009763-ffe4c1f5a7a4,r4,0,29,dense,standard,0.8386533260345459,0.6212358284613182,1,2,dense -> standard,dense:20;standard:9
20260910,2,dense-20260718009763-ffe4c1f5a7a4,r5,0,6,dense,dense,0.9122606515884399,0.9010677337646484,0,1,dense,dense:6
20260910,3,dense-20260718009863-fb2fb32d9c00,r1,1,17,dense,standard,0.9028202891349792,0.7858007015550837,1,2,dense -> standard,dense:16;standard:1
20260910,3,dense-20260718009863-fb2fb32d9c00,r2,1,15,dense,standard,0.8025659322738647,0.5168254355589549,1,2,dense -> standard,dense:14;standard:1
20260910,3,dense-20260718009863-fb2fb32d9c00,r3,1,58,dense,standard,0.4909898042678833,0.10394092996058793,1,2,dense -> standard,dense:6;standard:52
20260910,3,dense-20260718009863-fb2fb32d9c00,r4,1,11,dense,dense,0.8399043679237366,0.8574861829931085,0,1,dense,dense:11
20260910,3,dense-20260718009863-fb2fb32d9c00,r5,1,25,dense,standard,0.8306187391281128,0.4013631272315979,1,2,dense -> standard,dense:12;standard:13
20260910,4,dense-20260718009776-29a9af4f0715,r1,0,17,dense,dense,0.8784219622612,0.9331861944759593,0,1,dense,dense:17
20260910,4,dense-20260718009776-29a9af4f0715,r2,0,11,dense,standard,0.4698432683944702,0.33372361009771173,1,2,dense -> standard,dense:6;standard:5
20260910,4,dense-20260718009776-29a9af4f0715,r3,0,11,dense,dense,0.6866157054901123,0.836355366490104,0,1,dense,dense:11
20260910,4,dense-20260718009776-29a9af4f0715,r4,0,7,dense,standard,0.6787269711494446,0.674564038004194,1,2,dense -> standard,dense:6;standard:1
20260910,4,dense-20260718009776-29a9af4f0715,r5,0,18,dense,dense,0.5906960964202881,0.6601923306783041,0,1,dense,dense:18
20260910,5,dense-20260718009616-701910482738,r1,1,10,dense,dense,0.7694223523139954,0.7544385433197022,0,1,dense,dense:10
20260910,5,dense-20260718009616-701910482738,r2,1,43,dense,standard,0.4638972282409668,0.14618133160090724,1,2,dense -> standard,dense:6;standard:37
20260910,5,dense-20260718009616-701910482738,r3,1,7,dense,dense,0.8345251083374023,0.8672652840614319,0,1,dense,dense:7
20260910,5,dense-20260718009616-701910482738,r4,1,35,dense,standard,0.792826771736145,0.42447290548256467,1,2,dense -> standard,dense:26;standard:9
20260910,5,dense-20260718009616-701910482738,r5,1,20,dense,dense,0.870076060295105,0.675345778465271,0,1,dense,dense:20
20260910,6,dense-20260718009670-9904c4b2b0e4,r1,0,80,dense,standard,0.7406732439994812,0.1718862813897431,1,2,dense -> standard,dense:16;standard:64
20260910,6,dense-20260718009670-9904c4b2b0e4,r2,0,5,dense,dense,0.7771639227867126,0.8546362519264221,0,1,dense,dense:5
20260910,6,dense-20260718009670-9904c4b2b0e4,r3,0,8,dense,standard,0.812481701374054,0.5664532482624054,1,2,dense -> standard,dense:6;standard:2
20260910,6,dense-20260718009670-9904c4b2b0e4,r4,0,16,dense,standard,0.8197695016860962,0.46057554334402084,1,2,dense -> standard,dense:10;standard:6
20260910,6,dense-20260718009670-9904c4b2b0e4,r5,0,16,dense,standard,0.682849645614624,0.5600672028958797,1,2,dense -> standard,dense:14;standard:2
20260910,7,dense-20260718009718-9b8cecbd04ac,r1,1,7,dense,dense,0.7675375938415527,0.9016469546726772,0,1,dense,dense:7
20260910,7,dense-20260718009718-9b8cecbd04ac,r2,1,21,dense,standard,0.6487981081008911,0.6122128842842012,1,2,dense -> standard,dense:18;standard:3
20260910,7,dense-20260718009718-9b8cecbd04ac,r3,1,16,dense,standard,0.670863151550293,0.3301367131061852,1,2,dense -> standard,dense:10;standard:6
20260910,7,dense-20260718009718-9b8cecbd04ac,r4,1,23,dense,standard,0.7635257244110107,0.5503749640091605,1,2,dense -> standard,dense:18;standard:5
20260910,7,dense-20260718009718-9b8cecbd04ac,r5,1,8,dense,standard,0.5801593065261841,0.47651027143001556,1,2,dense -> standard,dense:6;standard:2
20260910,8,dense-20260718009741-8d3c7569dc30,r1,1,13,dense,standard,0.8916380405426025,0.7502618730068207,1,2,dense -> standard,dense:12;standard:1
20260910,8,dense-20260718009741-8d3c7569dc30,r2,1,22,dense,standard,0.8023233413696289,0.712511118162762,1,2,dense -> standard,dense:18;standard:4
20260910,8,dense-20260718009741-8d3c7569dc30,r3,1,31,dense,standard,0.6611682772636414,0.3926086175826288,1,2,dense -> standard,dense:18;standard:13
20260910,8,dense-20260718009741-8d3c7569dc30,r4,1,5,dense,dense,0.5427439212799072,0.6399497032165528,0,1,dense,dense:5
20260910,8,dense-20260718009741-8d3c7569dc30,r5,1,23,dense,standard,0.6187536716461182,0.4745319211936515,1,2,dense -> standard,dense:16;standard:7
20260910,9,dense-20260718009780-747ab80ebbf1,r1,0,22,dense,standard,0.8396468162536621,0.753196809779514,1,2,dense -> standard,dense:18;standard:4
20260910,9,dense-20260718009780-747ab80ebbf1,r2,0,6,dense,dense,0.5611032247543335,0.550542970498403,0,1,dense,dense:6
20260910,9,dense-20260718009780-747ab80ebbf1,r3,0,9,dense,dense,0.878642201423645,0.7987643480300903,0,1,dense,dense:9
20260910,9,dense-20260718009780-747ab80ebbf1,r4,0,9,dense,dense,0.7525491714477539,0.6882610122362772,0,1,dense,dense:9
20260910,9,dense-20260718009780-747ab80ebbf1,r5,0,7,dense,dense,0.892892599105835,0.9562132017953056,0,1,dense,dense:7
20260910,10,dense-20260718009800-fde3d04b6b3e,r1,1,19,dense,standard,0.6488609313964844,0.3214028967838538,1,2,dense -> standard,dense:6;standard:13
20260910,10,dense-20260718009800-fde3d04b6b3e,r2,1,10,dense,dense,0.8581488728523254,0.8159532308578491,0,1,dense,dense:10
20260910,10,dense-20260718009800-fde3d04b6b3e,r3,1,12,dense,dense,0.786998450756073,0.8176893095175425,0,1,dense,dense:12
20260910,10,dense-20260718009800-fde3d04b6b3e,r4,1,22,dense,standard,0.805881142616272,0.4426048607988791,1,2,dense -> standard,dense:14;standard:8
20260910,10,dense-20260718009800-fde3d04b6b3e,r5,1,20,standard,dense,0.3636125326156616,0.526293084025383,1,1,standard -> dense,standard:4;dense:16
